"","age","female","college","church","catholic","jewish","bible","income","pid","media","feeling.dem","feeling.demc","feeling.repc","feeling.rep","abortion","black","latino","white","gay.marriage","gay.discrimination","racial.resentment","moral.traditionalism","gay.therm","immigrants","gays.adoption","trans.military","authoritarianism","aid.blacks","sample_type","race","birthright.citizenship","dreamers","border.wall","urban.unrest","conservative"
"3932",80,0,1,0,0,0,2,0,1,NA,30,40,85,85,0,0,0,1,1,0,0.75,0.75,0.13265306122449,0,0,0,0.75,NA,3,"white",1,0,1,1,1
"3933",21,1,0,NA,0,0,3,1,0.5,0,50,60,0,50,0,1,0,0,1,0,0.375,0.75,0.693877551020408,0,0,1,1,0,3,"black",0,0,0,1,1
"3934",77,0,0,1,0,0,3,0,1,NA,0,0,100,100,1,0,0,1,1,0,0.5625,0.875,NA,1,1,0,1,0,4,"white",0,0,0,0,0
"3935",47,1,0,NA,0,0,3,1,0,0,100,100,50,50,0,0,1,0,0,0,NA,NA,NA,NA,0,NA,NA,0,3,"latino",0,0,0,0,0
"3936",29,1,1,0,0,0,2,1,0.833333333333333,0,15,60,70,70,0,1,0,0,0,0,0.3125,0.375,0.693877551020408,0,0,1,0.75,0,4,"black",0,0,1,0,0
"3937",42,0,0,0,0,0,3,1,0.5,0,50,0,70,60,0,0,0,1,0,1,1,0.75,NA,1,1,0,0.75,1,4,"white",1,1,1,0,0
"3938",43,0,0,0,0,0,2,1,0.5,0,50,70,0,0,0,0,0,0,0,1,0,0.5,1,1,0,0,1,0,4,"other",0,0,0,0,0
"3939",45,1,1,NA,0,0,2,1,0.666666666666667,NA,30,0,60,60,0,0,0,0,0,0,0.8125,0.5,0.489795918367347,1,0,1,0.75,0,4,"other",0,0,0,1,1
"3940",-9,0,1,NA,0,0,1,1,0.5,0,10,40,20,10,0,0,1,0,0,0,0.25,0.5,0.846938775510204,0,0,0,0.25,0,4,"latino",0,0,0,0,0
"3941",49,1,1,NA,0,0,2,1,0,0,100,100,0,50,0,0,0,1,0,0,0.25,0.25,0.846938775510204,0,0,0,0.25,0,3,"white",0,0,0,0,0
"3942",75,0,1,1,0,0,3,NA,1,0,0,0,100,100,0,0,0,1,0,0,1,1,NA,1,1,0,1,1,3,"white",1,1,1,1,1
"3943",80,1,1,0,0,0,2,0,1,0,0,0,85,85,0,0,0,1,0,1,NA,NA,NA,NA,0,NA,NA,0,3,"white",0,0,1,1,1
"3944",39,1,1,0,0,0,3,1,0,0,70,100,15,40,0,1,0,0,0,0,0.0625,0.5,0.846938775510204,0,0,0,0.75,0,4,"black",0,0,0,0,0
"3945",73,1,0,NA,0,0,1,1,0,0,85,100,0,0,0,0,0,1,0,0,0.5625,0.25,1,0,0,1,0,1,4,"white",0,0,0,0,0
"3946",26,1,0,1,0,0,3,1,0.666666666666667,0,0,0,100,70,0,0,1,0,0,0,0.875,1,0.897959183673469,1,0,0,0.5,0,3,"latino",0,NA,1,1,1
"3947",59,1,0,0,1,0,3,0,0.166666666666667,NA,NA,0,100,50,0,0,0,1,0,0,0.9375,0.75,0.693877551020408,1,0,1,0.75,1,3,"white",0,0,0,1,1
"3948",25,1,0,NA,0,0,2,0,0.333333333333333,NA,60,40,30,30,0,0,0,1,0,0,0.5,0.25,0.846938775510204,0,0,0,0.25,NA,4,"white",0,0,0,NA,NA
"3949",28,0,1,NA,0,0,2,0,0,0,80,70,0,50,0,1,0,0,0,0,0,0.375,0.489795918367347,0,0,1,1,0,3,"black",0,0,0,0,0
"3950",22,0,1,0,1,0,2,1,0.5,NA,20,35,45,20,0,0,0,1,0,0,0.5625,0.875,0.489795918367347,1,0,1,0.5,0,4,"white",1,1,0,1,1
"3951",40,0,0,NA,1,0,3,0,0.5,0,50,70,0,50,0,0,1,0,0,0,0,0.75,1,0,0,0,0.75,0,3,"latino",0,0,0,0,0
"3952",47,1,0,NA,0,0,1,1,0,0,75,93,2,10,0,0,0,1,0,0,NA,NA,NA,NA,0,NA,NA,1,3,"white",0,0,0,0,0
"3953",56,1,1,1,0,0,2,1,0,0,85,70,0,40,0,0,0,1,0,0,0,0.75,1,0,0,0,0,0,4,"white",0,0,0,0,0
"3954",32,0,1,0,1,0,2,1,1,0,0,0,85,70,0,0,0,1,0,0,0.8125,0.625,0.693877551020408,0,0,0,0,1,4,"white",1,0,1,1,1
"3955",78,1,0,0,1,0,1,0,0,NA,100,100,0,0,0,1,0,0,0,0,0.1875,0.5,0.489795918367347,0,0,1,0.75,NA,3,"black",0,0,0,0,0
"3956",72,0,1,NA,0,0,1,1,0.166666666666667,0,50,85,0,0,0,0,0,1,0,0,0,0.5,0.846938775510204,0,0,0,0,0,3,"white",0,0,0,0,0
"3957",34,1,1,0,0,0,1,1,0.166666666666667,0,70,70,0,35,0,0,0,1,0,0,0.125,0.5,1,0,0,0,0.25,0,4,"white",0,0,0,NA,NA
"3958",70,0,0,0,1,0,2,1,0.666666666666667,0,NA,NA,NA,NA,0,0,0,1,0,0,0.75,0.625,0.897959183673469,0,0,0,1,1,4,"white",1,1,1,1,1
"3959",26,0,0,NA,0,0,1,0,0.5,0,30,60,15,30,0,0,0,1,0,0,0.25,0.625,1,0,0,0,0,0,3,"white",0,0,0,0,0
"3960",27,0,1,0,0,0,1,0,0,NA,85,65,0,25,0,0,1,0,0,0,0.375,0.375,0.795918367346939,0,0,1,0,0,4,"latino",1,0,1,0,0
"3961",74,0,0,NA,0,0,NA,1,1,0,0,0,100,100,0,0,0,1,1,0,0.9375,0.625,NA,1,1,0,0.5,1,4,"white",0,0,1,1,1
"3962",64,1,0,NA,0,0,3,0,1,0,0,0,100,85,0,0,0,1,1,0,0.75,1,NA,0,0,1,0.25,0,3,"white",1,0,1,0,0
"3963",80,0,0,NA,1,0,3,0,1,0,30,30,85,85,0,0,0,1,1,0,0.625,1,0.387755102040816,0,1,0,0.5,0,4,"white",0,0,1,1,1
"3964",58,0,1,NA,0,0,2,1,0.666666666666667,0,10,30,90,80,0,0,0,1,0,0,0.8125,0.5,0.693877551020408,1,0,1,1,1,4,"white",0,0,1,0,0
"3965",56,1,1,0,1,0,NA,1,0.833333333333333,0,15,30,85,85,0,0,0,1,0,0,0.8125,0.75,0.591836734693878,1,0,1,1,1,3,"white",0,0,1,0,0
"3966",68,0,0,NA,0,0,1,1,0,0,70,85,0,50,0,0,0,1,0,0,0.25,0.5,1,0,0,1,0,0,4,"white",0,0,0,0,0
"3967",78,0,1,0,0,0,2,0,0,0,85,100,0,15,0,0,0,1,0,0,0.125,0.625,0.846938775510204,0,0,0,0.5,0,4,"white",0,0,0,0,0
"3968",-9,1,0,NA,0,0,1,1,0.5,0,60,60,60,40,0,0,0,0,0,0,0.4375,0.375,0.693877551020408,0,0,0,0.25,0,4,"other",1,0,1,NA,NA
"3969",20,1,NA,0,1,0,2,1,0.166666666666667,0,50,60,15,50,0,0,0,1,0,0,0.1875,0.125,1,0,0,0,0.25,0,4,"white",0,0,0,0,0
"3970",33,0,0,NA,0,0,2,0,0.166666666666667,0,85,85,60,60,0,1,0,0,0,0,0,0.375,0.489795918367347,0,1,1,1,NA,3,"black",0,0,0,0,0
